,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Orientación,Precio,URl,ubicacion,Ambientes,Tipo de propiedad,Cuota mensual de mantenimiento,Tipo de casa,Bodegas
0,200 m²,200 m²,3,3,2,2,15 años,,"9,000",https://casa.mercadolibre.com.mx/MLM-1302095990-casa-renta-3-recamaras-privada-fraccionamiento-del-moral-ii-zona-norte-leon-gto-_JM#position=39&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1250077%2C-101.6859605&zoom=16&size=732x300&signature=FOsbEKcZ54XbivkaAkv5jumYOPI=,,,0 MXN,,
0,140 m²,,3,2,2,2,8 años,,"10,000",https://casa.mercadolibre.com.mx/MLM-1302457242-casa-en-renta-3-recamaras-fraccionamiento-la-querencia-leon-gto-zona-norte-_JM#position=40&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1690457%2C-101.7404339&zoom=16&size=732x300&signature=YzDBCle2I4EXBFM1lTJYZMSa6ag=,,,500 MXN,,
0,75 m²,,1,1,1,2,10 años,,"4,000",https://casa.mercadolibre.com.mx/MLM-1304488907-casa-en-renta-equipada-y-cochera-cerrada-fracc-paseos-de-las-torres-leon-gto-_JM#position=41&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1698293%2C-101.7573488&zoom=16&size=732x300&signature=dsXbR30PfSp0Hjpw_RUpS03ng_o=,,,0 MXN,,
0,200 m²,350 m²,10,3,2,,41 años,,"15,000",https://casa.mercadolibre.com.mx/MLM-1304883607-casa-en-leon-moderno-leon-gto-_JM#position=42&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1060573%2C-101.6657611&zoom=16&size=732x300&signature=s5mJxy6s2oz-pHeXqXVEp_fbvo8=,,,,,
0,190 m²,190 m²,3,2,2,,0 años,,"11,000",https://casa.mercadolibre.com.mx/MLM-1301910829-casa-en-renta-3-recamaras-fraccionamiento-el-mayorazgo-leon-gto-_JM#position=43&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0687721%2C-101.5945109&zoom=16&size=732x300&signature=syr2xpH3ccID0WYfRw87_eA0Kxo=,,,700 MXN,,
0,125 m²,101.87 m²,3,1,1,,11 años,,"6,800",https://casa.mercadolibre.com.mx/MLM-1302366469-la-vigatta-_JM#position=44&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0975634%2C-101.611632&zoom=16&size=732x300&signature=meD3bFO7MhC7PfZjZJ3dKROeWbw=,,,,,
0,78 m²,,2,1,1,1,5 años,,"4,800",https://casa.mercadolibre.com.mx/MLM-1302453710-casa-amueblada-en-renta-2-recamaras-zona-sur-fraccionamiento-heroes-de-leon-salida-leon-silao-_JM#position=45&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0688842%2C-101.5632024&zoom=16&size=732x300&signature=SHQKPxGXWRK9Q_-XscJx6XH0LxY=,,,250 MXN,,
0,4500 m²,1100 m²,4,5,,,0 años,,"50,000",https://casa.mercadolibre.com.mx/MLM-1304448300-casa-sola-en-renta-el-alamo-_JM#position=46&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.059256%2C-101.590894&zoom=16&size=732x300&signature=QdBr4B1f6nVlwUwucE01ozuVF0Y=,,,,,
0,250 m²,230 m²,3,4,,,4 años,,"18,000",https://casa.mercadolibre.com.mx/MLM-1304480008-casa-sola-en-renta-la-marina-_JM#position=47&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.174051%2C-101.676555&zoom=16&size=732x300&signature=Mi0MStOo8wbAqn4eXbAUjOgaWUc=,,,,,
0,179 m²,230 m²,3,5,,,0 años,,"16,000",https://casa.mercadolibre.com.mx/MLM-1302371603-casa-sola-en-renta-el-mayorazgo-residencial-_JM#position=48&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.068812%2C-101.594495&zoom=16&size=732x300&signature=lQyNpqyY7QUiB1E6HX867WZMnN8=,,,,,
0,179 m²,230 m²,3,5,,,0 años,,"16,000",https://casa.mercadolibre.com.mx/MLM-1302361792-casa-sola-en-renta-el-mayorazgo-residencial-_JM#position=49&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.068812%2C-101.594495&zoom=16&size=732x300&signature=lQyNpqyY7QUiB1E6HX867WZMnN8=,,,,,
0,120 m²,120 m²,3,3,,,0 años,,"8,000",https://casa.mercadolibre.com.mx/MLM-1303782385-casa-sola-en-renta-residencial-la-toscana-_JM#position=50&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.173249%2C-101.654002&zoom=16&size=732x300&signature=bNMjxu3YJOhdswuzr7Vxxroercs=,,,,,
0,108 m²,157 m²,3,3,,,0 años,,"10,200",https://casa.mercadolibre.com.mx/MLM-1301525815-casa-sola-en-renta-residencial-sacromonte-_JM#position=1&search_layout=stack&type=item&tracking_id=cc7b138f-f437-44b6-935e-64ef79403803,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.062527%2C-101.601286&zoom=16&size=732x300&signature=JBdl3A-Z3-a8ICGM_XJtPCQ_QlE=,,,,,
0,160 m²,180 m²,3,2,2,2,3 años,,"13,800",https://casa.mercadolibre.com.mx/MLM-1304668533-renta-casa-en-residencial-santa-fe-en-leon-_JM#position=2&search_layout=stack&type=item&tracking_id=cc7b138f-f437-44b6-935e-64ef79403803,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1287805%2C-101.6179831&zoom=16&size=732x300&signature=6IAwuCsW7JAfWBw1WJ30Giz_9t4=,,,,,
0,256 m²,198 m²,3,3,,,0 años,,"15,200",https://casa.mercadolibre.com.mx/MLM-1305086863-casa-sola-en-renta-el-mayorazgo-residencial-_JM#position=3&search_layout=stack&type=item&tracking_id=cc7b138f-f437-44b6-935e-64ef79403803,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.068772%2C-101.594511&zoom=16&size=732x300&signature=oDQr4TYr-ZM6EOeaUsbWS1LBnOk=,,,,,
0,250 m²,230 m²,3,3,2,2,4 años,,"18,000",https://casa.mercadolibre.com.mx/MLM-1304053086-renta-casa-3-la-marina-_JM#position=4&search_layout=stack&type=item&tracking_id=cc7b138f-f437-44b6-935e-64ef79403803,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1740506%2C-101.676555&zoom=16&size=732x300&signature=6-LT69EhNoxdptD7oaDi3_D6P_M=,,,,,
